FolderName,ExcelName,AreTheSame
0307381,,
0307382,,
0307383,,
0307511,,
0307512,,
0307513,,
0401381,,
0401382,,
0401383,,
0405521,,
0405522,,
0405523,,
0411451,,
0411452,,
0411453,,
0503521,,
0503522,,
0503523,,
0510511,,
0510512,,
0510513,,
0601441,,
0601442,,
0601443,,
0603481,,
0603482,,
0603483,,
0607391,,
0607392,,
0607393,,
0701501,,
0701502,,
0701503,,
0802551,,
0802552,,
0802553,,
0806501,,
0806502,,
0806503,,
1001451,,
1001452,,
1001453,1001453,True
1002391,,
1002392,,
1002393,1002393,True
1003451,,
1003452,,
1003453,1003453,True
1105561,,
1105562,,
1105563,1105563,True
1111461,,
1111462,,
1111463,1111463,True
1112461,,
1112462,,
1112463,1112463,True
111501,,
111502,,
111503,111503,True
1305551,,
1305552,,
1305553,1305553,True
1403501,,
1403502,,
1403503,1403503,True
1408441,,
1408442,,
1408443,1408443,True
1505521,,
1505522,,
1505523,1505523,True
1507391,,
1507392,,
1507393,1507393,True
1601491,,
1601492,,
1601493,1601493,True
1603521,,
1603522,,
1603523,1603523,True
1604411,,
1604412,,
1604413,1604413,True
1604521,,
1604522,,
1604523,1604523,True
1610481,,
1610482,,
1610483,1610483,True
1712391,,
1712392,,
1712393,1712393,True
1801411,,
1801412,,
1801413,1801413,True
1808421,,
1808422,,
1808423,1808423,True
1812451,,
1812452,,
1812453,1812453,True
1903561,,
1903562,,
1903563,1903563,True
204501,,
204502,,
204503,204503,True
210149,,
2101492,,
2101493,2101493,True
2110431,,
2110432,,
2110433,2110433,True
2207451,,
2207452,,
2207453,2207453,True
2306551,,
2306552,,
2306553,2306553,True
2307441,,
2307442,,
2307443,2307443,True
2404471,,
2404472,,
2404473,2404473,True
2405461,,
2405462,,
2405463,2405463,True
2412511,,
2412512,,
2412513,2412513,True
2503481,,
2503482,,
2503483,2503483,True
2503531,,
2503532,,
2503533,2503533,True
2508531,,
2508532,,
2508533,2508533,True
2509511,,
2509512,,
2509513,2509513,True
2606521,,
2606522,,
2606523,2606523,True
2705481,,
2705482,,
2705483,2705483,True
290854,,
2908542,,
2908543,2908543,True
303461,,
303462,,
303463,303463,True
304411,,
304412,,
304413,304413,True
304452,,
304453,304453,True
